PCON24CD,PCON24NM,HAR name,MP,Party short,Party,ID,BG,Type,Type,Type,Type,Type,Type,Type
,,,,,,,,All,Archaeology,Battlefield,Building or structure,Conservation area,Park and garden,Place of worship
---,---,---,---,---,---,---,---,---,---,---,---,---,---
E14001063,Aldershot,Aldershot,Alex Baker,Lab,Labour,5173,#d50000,3,0,0,2,0,0,1
E14001064,Aldridge-Brownhills,Aldridge-Brownhills,Wendy Morton,Con,Conservative,4358,#0063ba,1,0,0,0,0,1,0
E14001065,Altrincham and Sale West,Altrincham and Sale West,Connor Rand,Lab,Labour,5159,#d50000,1,0,0,0,1,0,0
E14001066,Amber Valley,Amber Valley,Linsey Farnsworth,Lab,Labour,5107,#d50000,5,1,0,4,0,0,0
E14001067,Arundel and South Downs,Arundel and South Downs,Andrew Griffith,Con,Conservative,4874,#0063ba,13,5,0,2,1,1,4
E14001068,Ashfield,Ashfield,Lee Anderson,Ref,Ref,4743,#12b6cf,3,1,0,0,1,1,0
E14001069,Ashford,Ashford,Sojan Joseph,Lab,Labour,5247,#d50000,7,4,0,1,0,0,2
E14001070,Ashton-under-Lyne,Ashton-under-Lyne,Angela Rayner,Lab,Labour,4356,#d50000,5,0,0,1,0,0,4
E14001071,Aylesbury,Aylesbury,Laura Elizabeth Kyrke-Smith,Lab,Labour,5341,#d50000,7,0,0,3,0,2,2
E14001072,Banbury,Banbury,Sean Woodcock,Lab,Labour,5328,#d50000,7,2,0,1,2,0,2
E14001073,Barking,Barking,Nesil Caliskan,Lab,Labour,5180,#d50000,1,1,0,0,0,0,0
E14001074,Barnsley North,Barnsley North,Dan Jarvis,Lab,Labour,4243,#d50000,3,1,0,1,0,0,1
E14001075,Barnsley South,Barnsley South,Stephanie Peacock,Lab,Labour,4607,#d50000,4,2,0,0,1,0,1
E14001076,Barrow and Furness,Barrow and Furness,Michelle Scrogham,Lab,Labour,5049,#d50000,20,11,0,4,3,0,2
E14001077,Basildon and Billericay,Basildon and Billericay,Richard John Holden,Con,Conservative,4813,#0063ba,0,0,0,0,0,0,0
E14001078,Basingstoke,Basingstoke,Luke Murphy,Lab,Labour,5248,#d50000,0,0,0,0,0,0,0
E14001079,Bassetlaw,Bassetlaw,Jo White,Lab,Labour,5105,#d50000,18,1,0,8,2,1,6
E14001080,Bath,Bath,Wera Hobhouse,LD,Liberal Democrat,4602,#faa01a,5,3,0,2,0,0,0
E14001081,Battersea,Battersea,Marsha de Cordova,Lab,Labour,4676,#d50000,2,0,0,2,0,0,0
E14001082,Beaconsfield,Beaconsfield,Joy Morrissey,Con,Conservative,4759,#0063ba,0,0,0,0,0,0,0
E14001083,Beckenham and Penge,Beckenham and Penge,Liam Conlon,Lab,Labour,5132,#d50000,7,0,0,5,0,1,1
E14001084,Bedford,Bedford,Mohammad Yasin,Lab,Labour,4598,#d50000,2,0,0,0,1,0,1
E14001085,Bermondsey and Old Southwark,Bermondsey and Old Southwark,Neil Coyle,Lab,Labour,4368,#d50000,10,1,0,7,0,0,2
E14001086,Bethnal Green and Stepney,Bethnal Green and Stepney,Rushanara Ali,Lab,Labour,4138,#d50000,15,1,0,8,3,0,3
E14001087,Beverley and Holderness,Beverley and Holderness,Graham Stuart,Con,Conservative,1482,#0063ba,24,20,0,2,0,0,2
E14001088,Bexhill and Battle,Bexhill and Battle,Kieran Mullan,Con,Conservative,4860,#0063ba,3,1,0,1,0,0,1
E14001089,Bexleyheath and Crayford,Bexleyheath and Crayford,Daniel Francis,Lab,Labour,5184,#d50000,1,0,0,1,0,0,0
E14001090,Bicester and Woodstock,Bicester and Woodstock,Calum Miller,LD,Liberal Democrat,5346,#faa01a,6,2,0,1,1,0,2
E14001091,Birkenhead,Birkenhead,Alison McGovern,Lab,Labour,4083,#d50000,5,0,0,1,3,1,0
E14001092,Birmingham Edgbaston,Birmingham Edgbaston,Preet Kaur Gill,Lab,Labour,4603,#d50000,2,0,0,1,1,0,0
E14001093,Birmingham Erdington,Birmingham Erdington,Paulette Hamilton,Lab,Labour,4938,#d50000,0,0,0,0,0,0,0
E14001094,Birmingham Hall Green and Moseley,Birmingham Hall Green and Moseley,Tahir Ali,Lab,Labour,4747,#d50000,5,0,0,2,1,1,1
E14001095,Birmingham Hodge Hill and Solihull North,Birmingham Hodge Hill and Solihull North,Liam Byrne,Lab,Labour,1171,#d50000,1,1,0,0,0,0,0
E14001096,Birmingham Ladywood,Birmingham Ladywood,Shabana Mahmood,Lab,Labour,3914,#d50000,15,0,0,5,4,0,6
E14001097,Birmingham Northfield,Birmingham Northfield,Laurence Turner,Lab,Labour,5234,#d50000,3,0,0,1,1,0,1
E14001098,Birmingham Perry Barr,Birmingham Perry Barr,Ayoub Khan,Ind,Independent,5357,#909090,4,0,0,1,1,0,2
E14001099,Birmingham Selly Oak,Birmingham Selly Oak,Alistair Carns,Lab,Labour,5235,#d50000,0,0,0,0,0,0,0
E14001100,Birmingham Yardley,Birmingham Yardley,Jess Phillips,Lab,Labour,4370,#d50000,2,0,0,0,1,0,1
E14001101,Bishop Auckland,Bishop Auckland,Sam Rushworth,Lab,Labour,5108,#d50000,28,16,0,8,2,0,2
E14001102,Blackburn,Blackburn,Adnan Hussain,Ind,Independent,5231,#909090,3,0,0,0,2,1,0
E14001103,Blackley and Middleton South,Blackley and Middleton South,Graham Stringer,Lab,Labour,449,#d50000,4,0,0,3,1,0,0
E14001104,Blackpool North and Fleetwood,Blackpool North and Fleetwood,Lorraine Beavers,Lab,Labour,5232,#d50000,2,0,0,0,1,0,1
E14001105,Blackpool South,Blackpool South,Chris Webb,Lab,Labour,5025,#d50000,4,0,0,2,1,0,1
E14001106,Blaydon and Consett,Blaydon and Consett,Liz Twist,Lab,Labour,4618,#d50000,4,1,1,0,0,0,2
E14001107,Blyth and Ashington,Blyth and Ashington,Ian Lavery,Lab,Labour,4139,#d50000,4,0,0,3,1,0,0
E14001108,Bognor Regis and Littlehampton,Bognor Regis and Littlehampton,Alison Griffiths,Con,Conservative,5203,#0063ba,3,0,0,2,0,0,1
E14001109,Bolsover,Bolsover,Natalie Fleet,Lab,Labour,5053,#d50000,8,2,0,2,4,0,0
E14001110,Bolton North East,Bolton North East,Kirith Entwistle,Lab,Labour,5095,#d50000,7,0,0,1,1,0,5
E14001111,Bolton South and Walkden,Bolton South and Walkden,Yasmin Qureshi,Lab,Labour,3924,#d50000,2,0,0,1,0,0,1
E14001112,Bolton West,Bolton West,Phil Brickell,Lab,Labour,5128,#d50000,2,0,0,0,1,0,1
E14001113,Bootle,Bootle,Peter Dowd,Lab,Labour,4397,#d50000,2,0,0,0,2,0,0
E14001114,Boston and Skegness,Boston and Skegness,Richard Tice,Ref,Ref,5161,#12b6cf,19,3,0,5,5,0,6
E14001115,Bournemouth East,Bournemouth East,Tom Hayes,Lab,Labour,5210,#d50000,4,1,0,0,1,0,2
E14001116,Bournemouth West,Bournemouth West,Jessica Toale,Lab,Labour,5202,#d50000,3,1,0,0,0,0,2
E14001117,Bracknell,Bracknell,Peter Swallow,Lab,Labour,5165,#d50000,1,0,0,0,0,1,0
E14001118,Bradford East,Bradford East,Imran Hussain,Lab,Labour,4394,#909090,4,0,0,1,1,0,2
E14001119,Bradford South,Bradford South,Judith Cummins,Lab,Labour,4391,#d50000,2,0,1,0,1,0,0
E14001120,Bradford West,Bradford West,Naz Shah,Lab,Labour,4409,#d50000,14,0,0,2,9,0,3
E14001121,Braintree,Braintree,James Cleverly,Con,Conservative,4366,#0063ba,6,1,0,2,1,0,2
E14001122,Brent East,Brent East,Dawn Butler,Lab,Labour,1489,#d50000,4,0,0,1,0,0,3
E14001123,Brent West,Brent West,Barry Gardiner,Lab,Labour,146,#d50000,1,0,0,1,0,0,0
E14001124,Brentford and Isleworth,Brentford and Isleworth,Ruth Cadbury,Lab,Labour,4389,#d50000,10,0,0,6,2,1,1
E14001125,Brentwood and Ongar,Brentwood and Ongar,Alex Burghart,Con,Conservative,4613,#0063ba,9,1,0,4,0,1,3
E14001126,Bridgwater,Bridgwater,Ashley Fox,Con,Conservative,5101,#0063ba,14,2,0,3,0,1,8
E14001127,Bridlington and The Wolds,Bridlington and The Wolds,Charlie Dewhirst,Con,Conservative,5169,#0063ba,68,63,0,0,1,1,3
E14001128,Brigg and Immingham,Brigg and Immingham,Martin Vickers,Con,Conservative,3957,#0063ba,15,8,0,4,0,0,3
E14001129,Brighton Kemptown and Peacehaven,Brighton Kemptown and Peacehaven,Chris Ward,Lab,Labour,5276,#d50000,4,0,0,1,2,0,1
E14001130,Brighton Pavilion,Brighton Pavilion,Siân Berry,Green,Green,5314,#78b82a,10,0,0,3,3,2,2
E14001131,Bristol Central,Bristol Central,Carla Denyer,Green,Green,5102,#78b82a,5,2,0,2,1,0,0
E14001132,Bristol East,Bristol East,Kerry McCarthy,Lab,Labour,1491,#d50000,3,0,0,1,0,1,1
E14001133,Bristol North East,Bristol North East,Damien Egan,Lab,Labour,5010,#d50000,4,1,0,1,1,1,0
E14001134,Bristol North West,Bristol North West,Darren Jones,Lab,Labour,4621,#d50000,3,0,0,1,0,0,2
E14001135,Bristol South,Bristol South,Karin Smyth,Lab,Labour,4444,#d50000,1,0,0,1,0,0,0
E14001136,Broadland and Fakenham,Broadland and Fakenham,Jerome Mayhew,Con,Conservative,4739,#0063ba,12,0,0,4,2,0,6
E14001137,Bromley and Biggin Hill,Bromley and Biggin Hill,Peter Fortune,Con,Conservative,5209,#0063ba,14,1,0,12,1,0,0
E14001138,Bromsgrove,Bromsgrove,Bradley Anthony Thomas,Con,Conservative,5186,#0063ba,8,1,0,2,1,1,3
E14001139,Broxbourne,Broxbourne,Lewis Christopher Cocking,Con,Conservative,5050,#0063ba,5,2,0,0,2,1,0
E14001140,Broxtowe,Broxtowe,Juliet Campbell,Lab,Labour,5058,#d50000,4,1,0,2,1,0,0
E14001141,Buckingham and Bletchley,Buckingham and Bletchley,Callum Anderson,Lab,Labour,5193,#d50000,6,2,0,2,0,0,2
E14001142,Burnley,Burnley,Oliver Ryan,Lab,Labour,5135,#d50000,8,0,0,4,4,0,0
E14001143,Burton and Uttoxeter,Burton and Uttoxeter,Jacob Collier,Lab,Labour,5077,#d50000,2,0,0,1,1,0,0
E14001144,Bury North,Bury North,James Frith,Lab,Labour,4637,#d50000,5,0,0,1,2,0,2
E14001145,Bury South,Bury South,Christian Wakeford,Lab,Labour,4871,#d50000,4,0,0,0,1,0,3
E14001146,Bury St Edmunds and Stowmarket,Bury St. Edmunds and Stowmarket,Peter Prinsley,Lab,Labour,5163,#d50000,7,2,0,3,0,0,2
E14001147,Calder Valley,Calder Valley,Josh Fenton-Glynn,Lab,Labour,5295,#d50000,13,3,0,7,1,0,2
E14001148,Camborne and Redruth,Camborne and Redruth,Perran Moon,Lab,Labour,5208,#d50000,17,10,0,6,0,0,1
E14001149,Cambridge,Cambridge,Daniel Zeichner,Lab,Labour,4382,#d50000,3,0,0,2,0,0,1
E14001150,Cannock Chase,Cannock Chase,Josh Newbury,Lab,Labour,5034,#d50000,0,0,0,0,0,0,0
E14001151,Canterbury,Canterbury,Rosie Duffield,Lab,Labour,4616,#909090,9,4,0,5,0,0,0
E14001152,Carlisle,Carlisle,Julie Minns,Lab,Labour,5094,#d50000,22,11,0,6,2,0,3
E14001153,Carshalton and Wallington,Carshalton and Wallington,Bobby Dean,LD,Liberal Democrat,5083,#faa01a,5,0,0,4,0,0,1
E14001154,Castle Point,Castle Point,Rebecca Harris,Con,Conservative,3948,#0063ba,0,0,0,0,0,0,0
E14001155,Central Devon,Central Devon,Mel Stride,Con,Conservative,3935,#0063ba,51,39,0,3,2,0,7
E14001156,Central Suffolk and North Ipswich,Central Suffolk and North Ipswich,Patrick Spencer,Con,Conservative,5303,#0063ba,16,1,0,10,0,1,4
E14001157,Chatham and Aylesford,Chatham and Aylesford,Tristan Osborne,Lab,Labour,5220,#d50000,2,1,0,0,0,0,1
E14001158,Cheadle,Cheadle,Tom Morrison,LD,Liberal Democrat,5090,#faa01a,0,0,0,0,0,0,0
E14001159,Chelmsford,Chelmsford,Marie Goldman,LD,Liberal Democrat,5073,#faa01a,1,0,0,0,1,0,0
E14001160,Chelsea and Fulham,Chelsea and Fulham,Ben Coleman,Lab,Labour,5344,#d50000,7,0,0,6,0,0,1
E14001161,Cheltenham,Cheltenham,Max Wilkinson,LD,Liberal Democrat,5055,#faa01a,3,0,0,0,0,0,3
E14001162,Chesham and Amersham,Chesham and Amersham,Sarah Green,LD,Liberal Democrat,4918,#faa01a,1,0,0,1,0,0,0
E14001163,Chester North and Neston,Chester North and Neston,Samantha Dixon,Lab,Labour,4976,#d50000,2,0,0,1,0,0,1
E14001164,Chester South and Eddisbury,Chester South and Eddisbury,Aphra Brandreth,Con,Conservative,5241,#0063ba,12,6,0,5,0,0,1
E14001165,Chesterfield,Chesterfield,Toby Perkins,Lab,Labour,3952,#d50000,4,0,0,3,0,0,1
E14001166,Chichester,Chichester,Jessica Brown-Fuller,LD,Liberal Democrat,5335,#faa01a,12,9,0,2,1,0,0
E14001167,Chingford and Woodford Green,Chingford and Woodford Green,Iain Duncan Smith,Con,Conservative,152,#0063ba,6,0,0,4,1,0,1
E14001168,Chippenham,Chippenham,Sarah Gibson,LD,Liberal Democrat,5239,#faa01a,5,2,0,3,0,0,0
E14001169,Chipping Barnet,Chipping Barnet,Dan Tomlinson,Lab,Labour,5282,#d50000,1,0,0,0,0,0,1
E14001170,Chorley,Chorley,Lindsay Hoyle,Spk,Speaker,467,#4d4d4d,3,1,0,1,0,0,1
E14001171,Christchurch,Christchurch,Christopher Chope,Con,Conservative,242,#0063ba,9,8,0,0,0,0,1
E14001172,Cities of London and Westminster,Cities of London and Westminster,Rachel Blake,Lab,Labour,5257,#d50000,20,0,0,10,1,0,9
E14001173,City of Durham,City of Durham,Mary Kelly Foy,Lab,Labour,4753,#d50000,10,0,0,10,0,0,0
E14001174,Clacton,Clacton,Nigel Farage,Ref,Ref,5091,#12b6cf,9,0,0,4,4,0,1
E14001175,Clapham and Brixton Hill,Clapham and Brixton Hill,Bell Ribeiro-Addy,Lab,Labour,4764,#d50000,2,0,0,1,0,0,1
E14001176,Colchester,Colchester,Pam Cox,Lab,Labour,5042,#d50000,3,1,0,2,0,0,0
E14001177,Colne Valley,Colne Valley,Paul Davies,Lab,Labour,5317,#d50000,8,1,0,5,0,0,2
E14001178,Congleton,Congleton,Sarah Alison Russell,Lab,Labour,5324,#d50000,4,1,0,1,1,0,1
E14001179,Corby and East Northamptonshire,Corby and East Northamptonshire,Lee Barron,Lab,Labour,5315,#d50000,12,1,0,4,0,0,7
E14001180,Coventry East,Coventry East,Mary Creagh,Lab,Labour,1579,#d50000,0,0,0,0,0,0,0
E14001181,Coventry North West,Coventry North West,Taiwo Owatemi,Lab,Labour,4779,#d50000,2,1,0,0,1,0,0
E14001182,Coventry South,Coventry South,Zarah Sultana,Lab,Labour,4786,#909090,8,0,0,3,2,1,2
E14001183,Cramlington and Killingworth,Cramlington and Killingworth,Emma Foody,Lab,Labour,5029,#d50000,6,0,0,3,1,1,1
E14001184,Crawley,Crawley,Peter Lamb,Lab,Labour,5345,#d50000,0,0,0,0,0,0,0
E14001185,Crewe and Nantwich,Crewe and Nantwich,Connor Naismith,Lab,Labour,5273,#d50000,4,1,0,1,0,1,1
E14001186,Croydon East,Croydon East,Natasha Dawn Irons,Lab,Labour,5119,#d50000,3,0,0,2,1,0,0
E14001187,Croydon South,Croydon South,Chris Philp,Con,Conservative,4503,#0063ba,2,1,0,0,0,0,1
E14001188,Croydon West,Croydon West,Sarah Jones,Lab,Labour,4631,#d50000,8,0,0,4,1,0,3
E14001189,Dagenham and Rainham,Dagenham and Rainham,Margaret Mullane,Lab,Labour,5272,#d50000,2,0,0,2,0,0,0
E14001190,Darlington,Darlington,Lola McEvoy,Lab,Labour,5037,#d50000,4,0,0,1,2,0,1
E14001191,Dartford,Dartford,Jim Dickson,Lab,Labour,5223,#d50000,2,2,0,0,0,0,0
E14001192,Daventry,Daventry,Stuart Andrew,Con,Conservative,4032,#0063ba,15,2,0,8,0,0,5
E14001193,Derby North,Derby North,Catherine Atkinson,Lab,Labour,5143,#d50000,3,0,0,3,0,0,0
E14001194,Derby South,Derby South,Baggy Shanker,Lab,Labour,5176,#d50000,2,0,0,0,1,0,1
E14001195,Derbyshire Dales,Derbyshire Dales,John Whitby,Lab,Labour,5342,#d50000,9,3,0,2,0,0,4
E14001196,Dewsbury and Batley,Dewsbury and Batley,Iqbal Hussain Mohamed,Ind,Independent,5268,#909090,2,0,0,0,2,0,0
E14001197,Didcot and Wantage,Didcot and Wantage,Olly Glover,LD,Liberal Democrat,5318,#faa01a,9,7,0,1,0,0,1
E14001198,Doncaster Central,Doncaster Central,Sally Jameson,Lab,Labour,5178,#d50000,8,3,0,1,2,0,2
E14001199,Doncaster East and the Isle of Axholme,Doncaster East and the Isle of Axholme,Lee Pitcher,Lab,Labour,5233,#d50000,8,4,0,0,3,0,1
E14001200,Doncaster North,Doncaster North,Ed Miliband,Lab,Labour,1510,#d50000,12,4,0,1,3,0,4
E14001201,Dorking and Horley,Dorking and Horley,Chris Coghlan,LD,Liberal Democrat,5198,#faa01a,7,2,0,3,0,0,2
E14001202,Dover and Deal,Dover and Deal,Mike Tapp,Lab,Labour,5266,#d50000,11,3,0,5,2,0,1
E14001203,Droitwich and Evesham,Droitwich and Evesham,Nigel Huddleston,Con,Conservative,4407,#0063ba,16,4,0,4,0,1,7
E14001204,Dudley,Dudley,Sonia Kumar,Lab,Labour,5274,#d50000,3,1,0,0,0,0,2
E14001205,Dulwich and West Norwood,Dulwich and West Norwood,Helen Hayes,Lab,Labour,4510,#d50000,8,0,0,6,1,0,1
E14001206,Dunstable and Leighton Buzzard,Dunstable and Leighton Buzzard,Alex Mayer,Lab,Labour,5141,#d50000,1,0,0,1,0,0,0
E14001207,Ealing Central and Acton,Ealing Central and Acton,Rupa Huq,Lab,Labour,4511,#d50000,10,0,0,3,5,1,1
E14001208,Ealing North,Ealing North,James Murray,Lab,Labour,4797,#d50000,4,1,0,2,1,0,0
E14001209,Ealing Southall,Ealing Southall,Deirdre Costigan,Lab,Labour,5075,#d50000,6,1,0,3,2,0,0
E14001210,Earley and Woodley,Earley and Woodley,Yuan Yang,Lab,Labour,5267,#d50000,2,2,0,0,0,0,0
E14001211,Easington,Easington,Grahame Morris,Lab,Labour,3973,#d50000,1,0,0,0,1,0,0
E14001212,East Grinstead and Uckfield,East Grinstead and Uckfield,Mims Davies,Con,Conservative,4513,#0063ba,4,1,0,2,0,1,0
E14001213,East Ham,East Ham,Stephen Timms,Lab,Labour,163,#d50000,3,0,0,3,0,0,0
E14001214,East Hampshire,East Hampshire,Damian Hinds,Con,Conservative,3969,#0063ba,4,3,0,1,0,0,0
E14001215,East Surrey,East Surrey,Claire Coutinho,Con,Conservative,4806,#0063ba,3,0,0,2,0,0,1
E14001216,East Thanet,East Thanet,Polly Billington,Lab,Labour,5123,#d50000,8,2,0,3,1,0,2
E14001217,East Wiltshire,East Wiltshire,Danny Kruger,Con,Conservative,4858,#0063ba,80,74,0,3,0,1,2
E14001218,East Worthing and Shoreham,East Worthing and Shoreham,Tom Rutland,Lab,Labour,5222,#d50000,2,0,0,0,1,0,1
E14001219,Eastbourne,Eastbourne,Josh Babarinde,LD,Liberal Democrat,5086,#faa01a,7,2,0,5,0,0,0
E14001220,Eastleigh,Eastleigh,Liz Jarvis,LD,Liberal Democrat,5040,#faa01a,0,0,0,0,0,0,0
E14001221,Edmonton and Winchmore Hill,Edmonton and Winchmore Hill,Kate Osamor,Lab,Labour,4515,#d50000,9,0,0,2,5,1,1
E14001222,Ellesmere Port and Bromborough,Ellesmere Port and Bromborough,Justin Madders,Lab,Labour,4418,#d50000,2,0,0,1,0,0,1
E14001223,Eltham and Chislehurst,Eltham and Chislehurst,Clive Efford,Lab,Labour,165,#d50000,5,1,0,2,1,0,1
E14001224,Ely and East Cambridgeshire,Ely and East Cambridgeshire,Charlotte Cane,LD,Liberal Democrat,5182,#faa01a,11,6,0,2,2,0,1
E14001225,Enfield North,Enfield North,Feryal Clark,Lab,Labour,4822,#d50000,10,1,0,5,2,1,1
E14001226,Epping Forest,Epping Forest,Neil Hudson,Con,Conservative,4853,#0063ba,8,2,0,2,4,0,0
E14001227,Epsom and Ewell,Epsom and Ewell,Helen Maguire,LD,Liberal Democrat,5336,#faa01a,3,0,0,0,2,1,0
E14001228,Erewash,Erewash,Adam Thompson,Lab,Labour,5044,#d50000,4,0,0,1,2,0,1
E14001229,Erith and Thamesmead,Erith and Thamesmead,Abena Oppong-Asare,Lab,Labour,4820,#d50000,1,0,0,1,0,0,0
E14001230,Esher and Walton,Esher and Walton,Monica Harding,LD,Liberal Democrat,5299,#faa01a,1,0,0,1,0,0,0
E14001231,Exeter,Exeter,Steve Race,Lab,Labour,5064,#d50000,7,3,0,2,0,0,2
E14001232,Exmouth and Exeter East,Exmouth and Exeter East,David George Reed,Con,Conservative,5347,#0063ba,12,7,0,3,0,1,1
E14001233,Fareham and Waterlooville,Fareham and Waterlooville,Suella Braverman,Con,Conservative,4475,#0063ba,2,0,0,2,0,0,0
E14001234,Farnham and Bordon,Farnham and Bordon,Gregory Stafford,Con,Conservative,5351,#0063ba,4,4,0,0,0,0,0
E14001235,Faversham and Mid Kent,Faversham and Mid Kent,Helen Whately,Con,Conservative,4527,#0063ba,12,2,0,4,1,0,5
E14001236,Feltham and Heston,Feltham and Heston,Seema Malhotra,Lab,Labour,4253,#d50000,13,2,0,9,1,0,1
E14001237,Filton and Bradley Stoke,Filton and Bradley Stoke,Claire Hazelgrove,Lab,Labour,5306,#d50000,3,1,0,1,0,1,0
E14001238,Finchley and Golders Green,Finchley and Golders Green,Sarah Sackman,Lab,Labour,5204,#d50000,6,0,0,3,1,0,2
E14001239,Folkestone and Hythe,Folkestone and Hythe,Tony Vaughan,Lab,Labour,5067,#d50000,8,1,0,7,0,0,0
E14001240,Forest of Dean,Forest of Dean,Matt Bishop,Lab,Labour,5323,#d50000,16,8,0,4,0,0,4
E14001241,Frome and East Somerset,Frome and East Somerset,Anna Sabine,LD,Liberal Democrat,5286,#faa01a,23,10,0,4,1,0,8
E14001242,Fylde,Fylde,Andrew Snowden,Con,Conservative,5072,#0063ba,0,0,0,0,0,0,0
E14001243,Gainsborough,Gainsborough,Sir Edward Leigh,Con,Conservative,345,#0063ba,25,7,0,7,3,0,8
